id, name, lat, lng
1231, "Art Gallery", 37.781394, -122.493058
1232, "Century Kitchen Cabinets", 37.776168, -122.492786
1233, "Living Waters Fellowship", 37.738815, -122.491832
1234, "dental office", 37.781957, -122.491601
1235, "Cloud Rest Healing Center", 37.760824, -122.491272
1236, "_undetermined", 37.753837, -122.490726
1237, "7-Eleven", 37.742666, -122.490045
1238, "Ta Kioh Buddhist Temple", 37.779548, -122.489804
1239, "The Animal Connection", 37.761333, -122.489669
1240, "American Gymnastics & Raise the Bar Fitness", 37.761409, -122.489206
1241, "_undetermined", 37.753442, -122.488793
1242, "Hard Knox Cafe", 37.782227, -122.485747
1243, "United States Post Office", 37.742861, -122.485617
1244, "Nomad Cyclery", 37.76294511, -122.48550457
1245, "Nomad Cyclery", 37.76294511, -122.48550457
1246, "Joe's Coffee Shop", 37.780371, -122.485376
1247, "Balboa Bi-Rite", 37.776071, -122.485243
1248, "SF Credit Union", 37.763432, -122.485143
1249, "Avetex Furniture", 37.780383, -122.485117
1250, "Greenhouse Cafe", 37.742902, -122.484688
1251, "Royal Ground Coffee", 37.782279, -122.484619
1252, "Bills Place (Burger Joint).", 37.781806, -122.484154
1253, "Iyengar Yoga Institute of San Francisco (RELOCATED)", 37.74243416, -122.48406900
1254, "Eldon D. Young DDS", 37.761644, -122.483892
1255, "Goodwill", 37.763513, -122.483856
1256, "Jefferson Annex CDC", 37.76229986, -122.48381527
1257, "El Burito", 37.742567, -122.483403
1258, "Mescolanza Restaurant?", 37.781851, -122.483166
1259, "Irish Pub", 37.763549, -122.483035
1260, "Pizzetta 211", 37.783760, -122.483031
1261, "4 Star Theater", 37.782357, -122.482930
1262, "King of Thai Noodle", 37.742489, -122.482813
1263, "Wells Fargo", 37.763563, -122.482720
1264, "Olson's Cleaners", 37.76307121, -122.48264239
1265, "Little Paris", 37.763071, -122.482642
1266, "Walgreens", 37.754273, -122.482641
1267, "Sevan Liquor and Deli", 37.743002, -122.482415
1268, "Thom's Natural Food", 37.779935, -122.482164
1269, "Thom's Natural Food", 37.779935, -122.482164
1270, "Future Mobile Inc", 37.763610, -122.481705
1271, "Supermarket", 37.763119, -122.481613
1272, "Bazaar Cafe", 37.783825, -122.481196
1273, "Bazaar Cafe", 37.783825, -122.481196
1274, "Yum Yum Fish", 37.763141, -122.481124
1275, "Quickly", 37.763570, -122.480677
1276, "A Jeweler's Place", 37.776337, -122.480428
1277, "Just Won Ton Restaurant", 37.738872, -122.480407
1278, "Three Bees Nursery", 37.781991, -122.480051
1279, "Parkside Public Library", 37.743795, -122.480043
1280, "Post Office", 37.76318470, -122.47999146
1281, "Gables Sationary", 37.780621, -122.479951
1282, "Riverside Seafood Restaurant", 37.738894, -122.479878
1283, "medical building", 37.729524, -122.479519
1284, "Liquor Locker", 37.742642, -122.479337
1285, "Walgreens", 37.742652, -122.479108
1286, "dental office", 37.782533, -122.478998
1287, "_undetermined", 37.75389824, -122.47888473
1288, "Accounting Office", 37.738928, -122.478806
1289, "i Cafe (CLOSED)", 37.763713, -122.478596
1290, "Brown Owl Coffee", 37.742768, -122.478566
1291, "Sterling Bank and Trust", 37.743181, -122.478343
1292, "88 Laundromat & Cleaners", 37.782530, -122.478189
1293, "French Bakery", 37.742786, -122.478151
1294, "Lucca Foods", 37.76328169, -122.47792223
1295, "Underdogs Sports Bar and Grill", 37.763789, -122.477652
1296, "_undetermined", 37.780111, -122.477532
1297, "PPQ Beef Noodle House", 37.763762, -122.477486
1298, "Bank of America", 37.742743, -122.477084
1299, "Bashful Bull Hamburgers", 37.754466, -122.476992
1300, "YMCA", 37.781271, -122.476968
1301, "YMCA", 37.781271, -122.476968
1302, "Test Magic", 37.763839, -122.476504
1303, "Sunset Hydrophonic", 37.742844, -122.476407
1304, "Chase", 37.743268, -122.476361
1305, "DOC-FAI Martial Arts", 37.742782, -122.476169
1306, "San Francisco Brewcraft", 37.782205, -122.476114
1307, "Chomp N' Swig Cafe (was Cafe Mereb)", 37.782213, -122.475929
1308, "Chomp N' Swig Cafe (was Cafe Mereb)", 37.782213, -122.475929
1309, "Sava Pool", 37.73836627, -122.47590099
1310, "Seniore's Pizza", 37.74279406, -122.47587007
1311, "Underdog", 37.763789, -122.475693
1312, "Underdog", 37.763789, -122.475693
1313, "Ross", 37.780836, -122.475632
1314, "Wiggle Rack", 37.780248, -122.475266
1315, "Woodside International School", 37.763432, -122.474748
1316, "Merced Public Library", 37.726590, -122.474489
1317, "Safeway", 37.743359, -122.474291
1318, "Bastet's Kindle", 37.763450, -122.474073
1319, "Argonne Community Garden", 37.773969, -122.474057
1320, "St. Cecila's School", 37.739871, -122.473601
1321, "House of Bagels", 37.780910, -122.473486
1322, "World Team Kickboxing", 37.731444, -122.473337
1323, "Walgreens", 37.731721, -122.472737
1324, "Medical Offices", 37.731212, -122.472622
1325, "Everybody Bikes", 37.763987, -122.472606
1326, "Everybody Bikes", 37.763987, -122.472606
1327, "Everybody Bikes", 37.763987, -122.472606
1328, "Europa Express", 37.763995, -122.472438
1329, "Internet Archive", 37.782308, -122.471711
1330, "Pacifisia Investment & Realty", 37.780397, -122.471218
1331, "Andronico's Market", 37.764349, -122.471168
1332, "Andronico's Market", 37.764349, -122.471168
1333, "Andronico's Market", 37.764349, -122.471168
1334, "Healthy Spirits", 37.782850, -122.470532
1335, "Cafe la Flore", 37.782850, -122.470532
1336, "Standard Plumbing Ace Hardware", 37.782465, -122.470288
1337, "Diala Pizza", 37.714472, -122.470277
1338, "shopping complex", 37.737403, -122.470191
1339, "San Francisco Free Clinic", 37.784809, -122.470104
1340, "Mai Ling Hair Salon", 37.764026, -122.469917
1341, "Healthy Pets", 37.736885, -122.469889
1342, "West Portal Physical Therapy", 37.737186, -122.469528
1343, "Comic Outpost", 37.729796, -122.469478
1344, "SFA Yoga", 37.77491802, -122.46939521
1345, "UPS Store", 37.764163, -122.469133
1346, "US Post Office", 37.737588, -122.469041
1347, "Walgreens", 37.738932, -122.468400
1348, "Goodwill", 37.783024, -122.468144
1349, "Pizza Orgasmica", 37.782533, -122.468065
1350, "Richmond Library Branch", 37.781861, -122.468039
1351, "Richmond Library Branch", 37.781861, -122.468039
1352, "Diana Choy Hair Salon", 37.775036, -122.467862
1353, "Crossroads", 37.782578, -122.467836
1354, "Citibank", 37.739487, -122.467752
1355, "Zion Lutheran Church", 37.779241, -122.467633
1356, "Charles Schwab", 37.739698, -122.467480
1357, "Starbucks", 37.739698, -122.467480
1358, "Walgreens", 37.783071, -122.467376
1359, "St James Episcopal Church?", 37.784939, -122.467201
1360, "Gaetani Bldg", 37.781198, -122.467192
1361, "Fluid Yoga", 37.761889, -122.467058
1362, "Bikram Yoga Inner Sunset", 37.761889, -122.467058
1363, "Gym 445", 37.761893, -122.466960
1364, "Gym 445", 37.761893, -122.466960
1365, "Clement Street Bar & Grill", 37.783054, -122.466841
1366, "Natural Beauty Salon", 37.739447, -122.466836
1367, "Le Video", 37.765338, -122.466732
1368, "Sunset Gym", 37.765063, -122.466712
1369, "Kiki Japanese Restaurant", 37.764652, -122.466684
1370, "Sterling Bank & Trust", 37.763774, -122.466669
1371, "dental office", 37.73972768, -122.46663096
1372, "Arizmendi Bakery", 37.763401, -122.466596
1373, "Dash Cafe", 37.762371, -122.466575
1374, "Urban Bazaar", 37.762716, -122.466548
1375, "Bank of America", 37.764278, -122.466548
1376, "Village Market", 37.784511, -122.466506
1377, "Village Market", 37.784511, -122.466506
1378, "Noah's Bagel", 37.740678, -122.466416
1379, "Roxie Market", 37.760477, -122.466357
1380, "CineArts at the Empire", 37.739766, -122.466309
1381, "St. Francisco Market.", 37.740786, -122.466309
1382, "Cafe Muse", 37.77363822, -122.46625286
1383, "T-Mobile", 37.765671, -122.466191
1384, "Hotei Restaurant", 37.764296, -122.466121
1385, "Park Chow", 37.765156, -122.466060
1386, "Walter-Adams Gallery", 37.764815, -122.466036
1387, "Barbagelata Real Estate", 37.740186, -122.465958
1388, "Social Kitchen & Brewery", 37.763499, -122.465944
1389, "Craw Station", 37.763362, -122.465934
1390, "Oriental Art Gallery", 37.763293, -122.465930
1391, "Oriental Art Gallery", 37.763293, -122.465930
1392, "Bika Yoga Studio", 37.763156, -122.465920
1393, "Bika Yoga Studio", 37.763156, -122.465920
1394, "Wycen Foods", 37.782666, -122.465909
1395, "Nan King Road Bistro", 37.762916, -122.465903
1396, "Nan King Road Bistro", 37.762916, -122.465903
1397, "Yancy's Saloon", 37.764306, -122.465884
1398, "Wells Fargo", 37.763814, -122.465801
1399, "Squat & Gobble", 37.740587, -122.465765
1400, "Pasquale's Pizzeria", 37.764252, -122.465540
1401, "La Fonda", 37.764252, -122.465540
1402, "Pasquale's Pizzeria", 37.764252, -122.465540
1403, "Supercuts", 37.763861, -122.465532
1404, "Salon Belle Linda", 37.785153, -122.465377
1405, "The Richmond Restaurant", 37.777026, -122.465347
1406, "540 Club", 37.78317911, -122.46511054
1407, "Salon J", 37.764277, -122.464973
1408, "Schubert's Bakery", 37.782676, -122.464939
1409, "Green Apple Books", 37.783189, -122.464885
1410, "Green Apple Books", 37.783189, -122.464885
1411, "Green Apple Books", 37.783189, -122.464885
1412, "Tart to Tart", 37.763857, -122.464839
1413, "Thai Noodle Jump", 37.777410, -122.464819
1414, "Peabody Elementary School", 37.783934, -122.464794
1415, "residential", 37.764355, -122.464770
1416, "Crossroads", 37.764355, -122.464770
1417, "_undetermined", 37.783202, -122.464613
1418, "_undetermined", 37.783202, -122.464613
1419, "The Richmond Restaurant", 37.764295, -122.464556
1420, "Beanery", 37.764302, -122.464396
1421, "SF Hardware", 37.777077, -122.464284
1422, "6th Avenue Salon", 37.785313, -122.464096
1423, "Surreal You Hair Design", 37.764304, -122.463898
1424, "_undetermined", 37.764304, -122.463898
1425, "_undetermined", 37.763730, -122.463815
1426, "_undetermined", 37.763730, -122.463815
1427, "Impact Training", 37.763730, -122.463815
1428, "Impact Training", 37.763730, -122.463815
1429, "Rockit Room", 37.783225, -122.463777
1430, "Melisa's Chinese Cuisine", 37.777459, -122.463741
1431, "Namu Restaurant", 37.777068, -122.463713
1432, "Hans Hibachi", 37.763908, -122.463663
1433, "Aquatic Central", 37.725547, -122.463662
1434, "Garden for the Environment", 37.759111, -122.463573
1435, "Toy Boat Dessert Cafe", 37.782742, -122.463512
1436, "Toy Boat Dessert Cafe", 37.782742, -122.463512
1437, "Ocean Taqueria", 37.725392, -122.463258
1438, "Funa-ya Japanese Cuisine (closed)", 37.783254, -122.463150
1439, "Ocean Cyclery", 37.725335, -122.463107
1440, "Franciscan Hobby Shop", 37.725806, -122.462977
1441, "Hong Kong Delights", 37.714077, -122.462921
1442, "Chung Chou City", 37.783276, -122.462662
1443, "Barber Shop", 37.725030, -122.462498
1444, "King's Coffee Shop", 37.725030, -122.462498
1445, "Ken & Mary Hair Salon", 37.781349, -122.462337
1446, "24 Hour Fitness", 37.725474, -122.462196
1447, "Yama Sushi", 37.721980, -122.462029
1448, "Kumon Reading Center", 37.724882, -122.461845
1449, "Seedstore & Park Life", 37.783316, -122.461803
1450, "Grain D'Or", 37.783316, -122.461803
1451, "St. John of God Church.", 37.764502, -122.461764
1452, "Touch of Heaven", 37.722052, -122.461627
1453, "dental office", 37.782830, -122.461600
1454, "Third Avenue Food Market", 37.785161, -122.461532
1455, "Cumaica Coffee", 37.783334, -122.461400
1456, "CitiKids", 37.783350, -122.461049
1457, "Girogio's Pizzeria", 37.782857, -122.461013
1458, "Buckshot Bar and Gameroom", 37.781484, -122.460856
1459, "Ocean Avenue Books", 37.724571, -122.460781
1460, "CVS Pharmacy", 37.725357, -122.460641
1461, "Java on Ocean", 37.724988, -122.460192
1462, "Miracle Cleaners", 37.724988, -122.460192
1463, "Bank of America", 37.724429, -122.459987
1464, "Eats", 37.783301, -122.459883
1465, "NCPS", 37.724411, -122.459810
1466, "The Ave - Bar", 37.724316, -122.459553
1467, "ChouChou French Restaurant", 37.747388, -122.459522
1468, "Aqua Spa", 37.783399, -122.459487
1469, "Village Pizzeria", 37.783002, -122.459344
1470, "T & T Nails", 37.782899, -122.459337
1471, "Muni Laguna Honda Station", 37.74786470, -122.45931869
1472, "Blissful Bites", 37.783407, -122.459300
1473, "Clement Mini Mart", 37.783407, -122.459300
1474, "Thorne Hats", 37.724753, -122.459052
1475, "Clean X Press", 37.724587, -122.458414
1476, "Lucky Ocean Donuts", 37.724092, -122.458356
1477, "San Francylo", 37.776354, -122.458215
1478, "Arguello Super", 37.775648, -122.458120
1479, "Velo Rouge Cafe", 37.775411, -122.458102
1480, "Velo Rouge Cafe", 37.775411, -122.458102
1481, "Claire Lillienth", 37.787219, -122.458077
1482, "Ocean Pizza", 37.723999, -122.457940
1483, "CPMC", 37.786186, -122.457598
1484, "Sivananda Yoga Vedanta Center?", 37.765674, -122.457442
1485, "Rossi Pool", 37.778784, -122.457436
1486, "Doctor's office", 37.786593, -122.457195
1487, "El Jalepeno Restaurant", 37.724325, -122.457036
1488, "Telegraph Crossfit", 37.78104305, -122.45700623
1489, "Circus Center", 37.765548, -122.456964
1490, "Parnassus Heights Exchange", 37.764235, -122.456228
1491, "Ingleside Branch Library", 37.724143, -122.456200
1492, "Woodside Learning Center", 37.748644, -122.456145
1493, "McDonald's", 37.723447, -122.455509
1494, "McDonald's", 37.723447, -122.455509
1495, "_undetermined", 37.786829, -122.455448
1496, "ArcoSports", 37.765769, -122.455434
1497, "ArcoSports", 37.765769, -122.455434
1498, "Twilight Cafe", 37.775891, -122.455054
1499, "Avalon at Ocean", 37.723973, -122.454994
1500, "Avalon at Ocean", 37.723973, -122.454994
1501, "Java Jitters Coffee Shop", 37.723268, -122.454562
1502, "Abbey Carpet", 37.781249, -122.454382
1503, "St. Mary's Hospital", 37.774059, -122.454188
1504, "medical building", 37.743623, -122.454092
1505, "Beeps Burgers", 37.723166, -122.453909
1506, "_undetermined", 37.787118, -122.453725
1507, "Walgreens", 37.786141, -122.453538
1508, "St Mary's Hospital", 37.773241, -122.453504
1509, "Zanshin Mind Body Center", 37.770365, -122.453460
1510, "Flywheel Coffee Roasters", 37.769707, -122.453327
1511, "_undetermined", 37.787143, -122.453254
1512, "Starbucks", 37.786040, -122.453151
1513, "SF Federal Credit Union", 37.767885, -122.452903
1514, "Yoga Tree", 37.767783, -122.452882
1515, "Yoga Tree", 37.767783, -122.452882
1516, "Laurel Hill Nursery School", 37.783800, -122.452729
1517, "PUMA store", 37.766543, -122.452672
1518, "Amoeba Music", 37.768922, -122.452620
1519, "Prudential", 37.744560, -122.452562
1520, "The Abode of Iyengar Yoga", 37.731236, -122.452523
1521, "Funkydoor Yoga Haight", 37.768057, -122.452489
1522, "The Nightbreak", 37.769035, -122.452306
1523, "Shaxul Records", 37.769560, -122.452290
1524, "Walgreens", 37.764286, -122.452259
1525, "Bathsense", 37.78776064, -122.45217402
1526, "Parada 22", 37.769123, -122.452033
1527, "_undetermined", 37.773482, -122.451979
1528, "Pro Dental Care", 37.745045, -122.451734
1529, "The Citrus Club", 37.769645, -122.451628
1530, "Chico's", 37.786234, -122.451609
1531, "Laurel Village Shopping Center", 37.78623443, -122.45160895
1532, "Big Joe's Broiler #2", 37.731247, -122.451596
1533, "Elite Sports", 37.769207, -122.451370
1534, "_undetermined", 37.787902, -122.451366
1535, "Railroad Espresso", 37.731258, -122.451334
1536, "Sunshine Wine & Liquor", 37.769598, -122.451176
1537, "_undetermined", 37.769263, -122.450926
1538, "Cole Valley Cafe", 37.768434, -122.450758
1539, "Sacred Grounds Coffee", 37.77319424, -122.45064856
1540, "Grattan School", 37.763480, -122.450506
1541, "Insight Productions", 37.786961, -122.450415
1542, "Peet's Coffee", 37.786389, -122.450410
1543, "_undetermined", 37.769366, -122.450391
1544, "Crepes on Cole", 37.765900, -122.450275
1545, "New Traditions Elementary School", 37.773885, -122.450267
1546, "New Traditions Elementary School", 37.773885, -122.450267
1547, "New Traditions Elementary School", 37.77388542, -122.45026690
1548, "Beautifull", 37.786413, -122.450222
1549, "MadKat", 37.765602, -122.450214
1550, "Quince Restaurant", 37.765602, -122.450214
1551, "Cole Valley Fitness", 37.765296, -122.450152
1552, "Emilios Barber Shop", 37.70994160, -122.45013052
1553, "_undetermined", 37.787659, -122.450056
1554, "_undetermined", 37.769375, -122.450051
1555, "_undetermined", 37.769429, -122.449896
1556, "_undetermined", 37.766196, -122.449777
1557, "Val DeáColeáWines & Spirits", 37.765578, -122.449695
1558, "Burgermeister", 37.765998, -122.449678
1559, "Urban Mercantile / Vierra & Friends", 37.765599, -122.449515
1560, "One Smart Kid", 37.788130, -122.449468
1561, "La Boulange Cafe & Bakery", 37.764769, -122.449454
1562, "Cole Hardware", 37.765369, -122.449451
1563, "Cole Hardware", 37.765369, -122.449451
1564, "_undetermined", 37.769976, -122.449428
1565, "Bia's Restaurant and Wine Bar", 37.769988, -122.449334
1566, "_undetermined", 37.787613, -122.449289
1567, "FTC Skateboarding", 37.770005, -122.449201
1568, "The Pig and Whistle Bar and Restaurant", 37.781888, -122.449142
1569, "residential", 37.770395, -122.449007
1570, "Dr. Martens", 37.769550, -122.448947
1571, "Sunnyside ElementaryáSchool", 37.730444, -122.448734
1572, "Sunnyside Elementary School", 37.730444, -122.448734
1573, "Soulful Pilates", 37.768697, -122.448646
1574, "Nani's Coffee", 37.781971, -122.448492
1575, "Bend Yoga Studio", 37.773364, -122.448352
1576, "Bend Yoga Studio", 37.773364, -122.448352
1577, "Upper Haight Post Office", 37.770047, -122.448334
1578, "_undetermined", 37.769636, -122.448328
1579, "Haight Ashbury Free Clinic", 37.769965, -122.448317
1580, "Freewheel Hayes", 37.773876, -122.448154
1581, "_undetermined", 37.769627, -122.448060
1582, "Corner Store, The", 37.782087, -122.448016
1583, "Golden Gate Park Panhandle Children's Playground", 37.772200, -122.447940
1584, "_undetermined", 37.769627, -122.447668
1585, "Haight Street Market", 37.770206, -122.447629
1586, "_undetermined", 37.788333, -122.447550
1587, "Jewish Communtiy Center", 37.787486, -122.447385
1588, "Jewish Communtiy Center", 37.787486, -122.447385
1589, "Jewish Communtiy Center", 37.787486, -122.447385
1590, "_undetermined", 37.773644, -122.447374
1591, "_undetermined", 37.769743, -122.447269
1592, "_undetermined", 37.769743, -122.447269
1593, "CCSF John Adams Campus", 37.774299, -122.447012
1594, "_undetermined", 37.798024, -122.446915
1595, "_undetermined", 37.780685, -122.446879
1596, "Bistro Gambrinus", 37.775598, -122.446780
1597, "Blood Centers of the Pacific", 37.778919, -122.446749
1598, "Bath Sense and More", 37.788009, -122.446726
1599, "_undetermined", 37.788453, -122.446722
1600, "Laurel Inn Hotel", 37.787588, -122.446579
1601, "Philippine Delicacies", 37.711165, -122.446396
1602, "Balboa Park Swimming Pool", 37.724772, -122.446253
1603, "Balboa Park Swimming Pool", 37.724772, -122.446253
1604, "Vintage a la Mode", 37.788561, -122.446188
1605, "Papalote Restaurant", 37.775693, -122.446031
1606, "Squat & Gobble", 37.770366, -122.445966
1607, "Saint Agnes Church", 37.771618, -122.445941
1608, "Amiti's Deli Cafe", 37.773847, -122.445833
1609, "Positively Haight Street Business.", 37.770400, -122.445700
1610, "The Red Victorian", 37.769988, -122.445650
1611, "_undetermined", 37.775633, -122.445541
1612, "Lowell Market", 37.709564, -122.445534
1613, "_undetermined", 37.795672, -122.445202
1614, "Magnolia Brewery", 37.77040275, -122.44512989
1615, "Coffee to the People", 37.770055, -122.444985
1616, "San Miguel CDC (PreK & SA)", 37.721716, -122.444903
1617, "The Little School", 37.785136, -122.444717
1618, "_undetermined", 37.770580, -122.444696
1619, "Chop Shop", 37.774266, -122.444669
1620, "Fresh Cuts Barber", 37.712440, -122.444609
1621, "Rooftop ES", 37.757396, -122.444500
1622, "Bistro Central Parc", 37.775002, -122.444280
1623, "Braindrops", 37.770594, -122.444173
1624, "Braindrops", 37.770594, -122.444173
1625, "_undetermined", 37.770599, -122.443370
1626, "St. Cyprian's Episcopal Church", 37.778902, -122.443361
1627, "Karen Y Uchiyama Law Offices", 37.784100, -122.443244
1628, "DREW Prepatrory School", 37.787513, -122.442360
1629, "Asa Sushi", 37.799771, -122.442225
1630, "Bloomers", 37.790428, -122.442193
1631, "McBaker Grocery/Liquor", 37.77747422, -122.44204280
1632, "El Pollo Supremo", 37.715611, -122.442021
1633, "San Francisco Waldorf School", 37.790783, -122.441910
1634, "Chile Pies (& Ice Cream)", 37.776539, -122.441854
1635, "The Mindful Body", 37.788163, -122.441761
1636, "Pacific Primary School", 37.775283, -122.441606
1637, "_undetermined", 37.799929, -122.441487
1638, "Workshop SF", 37.777571, -122.441473
1639, "Matching Half Cafe", 37.777218, -122.441426
1640, "Matching Half Cafe", 37.777218, -122.441426
1641, "Stewart's Market", 37.785259, -122.441417
1642, "Discovery Carpet and Flooring", 37.723133, -122.441394
1643, "Roxie Food Center", 37.72668172, -122.44121727
1644, "Roxie Food Center", 37.72668172, -122.44121727
1645, "Kaiser", 37.78246242, -122.44112487
1646, "Acme Surplus Store", 37.716015, -122.440995
1647, "Russian Center of San Francsico", 37.785402, -122.440916
1648, "_undetermined", 37.799967, -122.440817
1649, "Rincon Latino", 37.717252, -122.440800
1650, "_undetermined", 37.787838, -122.440731
1651, "_undetermined", 37.787838, -122.440731
1652, "Kaiser", 37.783512, -122.440626
1653, "Kaiser", 37.783512, -122.440626
1654, "UCSF Mount Zion", 37.785443, -122.440590
1655, "new commercial development", 37.785443, -122.440590
1656, "_undetermined", 37.799980, -122.440579
1657, "Yoga Works", 37.786437, -122.440430
1658, "Cal-Divis Marketplace", 37.788342, -122.440297
1659, "medical offices", 37.785488, -122.440238
1660, "medical offices", 37.785488, -122.440238
1661, "Tuttimelon", 37.800482, -122.440145
1662, "Mission Dental", 37.729197, -122.440091
1663, "El Burrito Express", 37.786461, -122.439824
1664, "Benefit Cosemtics", 37.800234, -122.439811
1665, "Ocean Taqueria", 37.786725, -122.439781
1666, "Starbucks", 37.785974, -122.439697
1667, "Walgreens", 37.782233, -122.439580
1668, "_undetermined", 37.799676, -122.439552
1669, "Streetwise Skate Shop", 37.716071, -122.439534
1670, "Dr William Cobb (PreK and SA) CDC", 37.788026, -122.439525
1671, "Frankee Uno San Francisco", 37.780905, -122.439353
1672, "San Francisco Pet Hospital", 37.776433, -122.439247
1673, "Safeway", 37.719660, -122.439188
1674, "_undetermined", 37.800176, -122.439174
1675, "Mt Zion", 37.784891, -122.438928
1676, "Mt Zion", 37.784891, -122.438928
1677, "Oakside Cafe", 37.772737, -122.438887
1678, "OakSide Cafe", 37.772737, -122.438887
1679, "Peet's Coffee", 37.800706, -122.438854
1680, "Croatian Ameriacn Cultural Center", 37.722006, -122.438835
1681, "Candybar", 37.776538, -122.438830
1682, "Gap", 37.800209, -122.438770
1683, "Peet's Coffee", 37.773440, -122.438756
1684, "Falletti Foods-Store Products-San Francisco, CA", 37.773440, -122.438756
1685, "Nopalito", 37.773440, -122.438756
1686, "DeLessio Market and Bakery", 37.773440, -122.438756
1687, "_undetermined", 37.799833, -122.438727
1688, "Oasis Cafe", 37.777916, -122.438709
1689, "Basa Collective", 37.776067, -122.438524
1690, "Everlasting Tattoo", 37.777129, -122.438452
1691, "Film Yard Video", 37.777082, -122.438440
1692, "Cafe Abir", 37.776993, -122.438429
1693, "Plant It Earth Store", 37.775744, -122.438287
1694, "Janie and Jack", 37.800799, -122.438258
1695, "Firefly restaurant", 37.751264, -122.438257
1696, "Firefly restaurant", 37.751264, -122.438257
1697, "Philz Coffee", 37.751264, -122.438257
1698, "Philz Coffee", 37.751264, -122.438257
1699, "Mojo Bicycle Cafe", 37.775521, -122.438244
1700, "Apple Store", 37.800324, -122.438202
1701, "Alvarado Elementary School", 37.753682, -122.438193
1702, "Alvarado Elementary School", 37.753682, -122.438193
1703, "Post Office", 37.721203, -122.438120
1704, "Club Waziema", 37.774620, -122.438054
1705, "Divisadero Health Haven", 37.775322, -122.438045
1706, "Bean Bag Cafe", 37.775154, -122.438042
1707, "Club One", 37.774552, -122.438040
1708, "Herbivore: The Earthly Grill", 37.774485, -122.438027
